town,county,total_enrollment,num_schools,single_school_town,avg_school_enrollment,enrollment_category,num_elementary,num_middle,num_high,num_combined,weighted_frpl_rate,free_lunch_rate,reduced_lunch_rate,elementary_frpl_rate,middle_frpl_rate,high_frpl_rate,school_frpl_variance,school_frpl_range,min_school_frpl_rate,max_school_frpl_rate,county_poverty_rate,county_median_income,county_snap_rate,frpl_vs_county_poverty,frpl_above_county_avg,county_income_zscore,frpl_zscore,hardship_score,high_frpl_flag,very_high_frpl_flag,low_confidence_flag
Londonderry,Windham,308.0,1,1,308.0,medium,1,0,0,0,26.62,18.51,8.12,26.623376623376622,,,0.0,0.0,26.6,26.6,12.6,65473,13.5,14.02,1,-0.709,-0.404,0.305,0,0,0
Lowell,Orleans,86.0,1,1,86.0,small,1,0,0,0,68.6,50.0,18.6,68.6046511627907,,,0.0,0.0,68.6,68.6,9.8,63981,13.7,58.8,1,-0.873,2.38,3.253,1,0,0
Ludlow,Windsor,87.0,1,1,87.0,small,1,0,0,0,43.68,42.53,1.15,43.67816091954023,,,0.0,0.0,43.7,43.7,8.7,69492,9.0,34.98,1,-0.267,0.728,0.995,0,0,0
Lyndonville,Caledonia,501.0,1,1,501.0,large,1,0,0,0,44.91,44.71,0.2,44.91017964071856,,,0.0,0.0,44.9,44.9,11.8,62964,14.1,33.11,1,-0.985,0.809,1.794,0,0,0
Manchester Center,Bennington,392.0,1,1,392.0,medium,1,0,0,0,41.33,32.91,8.42,41.3265306122449,,,0.0,0.0,41.3,41.3,11.2,68558,14.9,30.13,1,-0.369,0.572,0.941,0,0,0
Marlboro,Windham,89.0,1,1,89.0,small,1,0,0,0,31.46,24.72,6.74,31.46067415730337,,,0.0,0.0,31.5,31.5,12.6,65473,13.5,18.86,1,-0.709,-0.083,0.626,0,0,0
Middlebury,Addison,1430.0,4,0,357.5,very_large,2,1,1,0,21.26,16.85,4.41,23.933209647495364,22.493224932249323,17.624521072796934,34.95,13.4,11.6,25.0,7.5,85870,9.0,13.76,1,1.536,-0.759,-2.295,0,0,0
Middlesex,Washington,121.0,1,1,121.0,small,1,0,0,0,16.53,9.92,6.61,16.528925619834713,,,0.0,0.0,16.5,16.5,9.9,77278,10.3,6.63,1,0.59,-1.073,-1.663,0,0,0
Middletown Springs,Rutland,73.0,1,1,73.0,small,1,0,0,0,36.99,31.51,5.48,36.986301369863014,,,0.0,0.0,37.0,37.0,11.4,62641,10.6,25.59,1,-1.021,0.284,1.305,0,0,0
Milton,Chittenden,1459.0,3,0,486.33,very_large,1,1,1,0,25.98,22.21,3.77,28.84310618066561,28.53470437017995,19.58997722095672,27.32,9.2,19.6,28.8,11.2,89494,7.6,14.78,1,1.935,-0.446,-2.381,0,0,0
Monkton,Addison,125.0,1,1,125.0,small,1,0,0,0,20.8,12.0,8.8,20.8,,,0.0,0.0,20.8,20.8,7.5,85870,9.0,13.3,1,1.536,-0.79,-2.326,0,0,0
Montgomery Center,Franklin,151.0,1,1,151.0,small,1,0,0,0,37.09,24.5,12.58,37.086092715231786,,,0.0,0.0,37.1,37.1,10.4,73633,11.6,26.69,1,0.189,0.291,0.102,0,0,0
Montpelier,Washington,1885.0,4,0,471.25,very_large,1,1,2,0,20.11,16.55,3.55,13.392857142857142,25.993883792048926,21.08108108108108,28.38,12.6,13.4,26.0,9.9,77278,10.3,10.21,1,0.59,-0.835,-1.425,0,0,0
Moretown,Washington,721.0,2,0,360.5,large,1,0,1,0,20.53,17.48,3.05,27.878787878787882,,18.345323741007196,46.08,9.6,18.3,27.9,9.9,77278,10.3,10.63,1,0.59,-0.807,-1.397,0,0,0
